<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20210413;000000;223.0200000;228.3300000;221.1000000;227.9900000;39063400
GAZP;D;20210414;000000;230.5800000;236.5800000;229.3100000;235.3200000;91895500
GAZP;D;20210415;000000;230.1000000;236.3900000;228.2300000;234.6300000;62531120
GAZP;D;20210416;000000;235.4900000;237.4500000;232.7000000;235.1000000;46181390
GAZP;D;20210419;000000;234.7400000;234.9000000;230.2800000;231.1700000;39712830
GAZP;D;20210420;000000;231.5800000;233.1700000;229.0000000;230.0000000;43916060
GAZP;D;20210421;000000;229.9300000;231.8000000;228.3700000;230.8400000;35493950
GAZP;D;20210422;000000;230.6800000;232.1500000;227.1400000;230.9300000;60338620
GAZP;D;20210423;000000;231.3000000;233.3000000;230.0000000;232.6200000;35447230
GAZP;D;20210426;000000;233.0200000;234.9100000;232.1600000;233.2300000;28695180
GAZP;D;20210427;000000;233.5000000;235.1400000;231.2100000;232.0000000;29275690
GAZP;D;20210428;000000;232.5500000;233.2400000;230.2000000;232.9600000;37443310
GAZP;D;20210429;000000;234.0800000;236.1800000;229.0000000;230.5100000;55599370
GAZP;D;20210430;000000;230.1100000;231.6000000;228.8600000;231.3800000;32069550
GAZP;D;20210504;000000;232.2000000;234.3000000;230.9600000;233.8000000;37916850
GAZP;D;20210505;000000;234.2100000;237.7700000;233.6900000;237.5000000;38141220
GAZP;D;20210506;000000;237.9000000;243.3200000;237.7500000;243.0000000;50375470
GAZP;D;20210507;000000;243.4900000;243.9900000;240.7800000;241.7000000;37128000
GAZP;D;20210510;000000;242.3500000;244.3000000;240.5200000;241.4100000;32389560
GAZP;D;20210511;000000;240.2000000;243.1700000;239.0500000;242.5000000;35809800
GAZP;D;20210512;000000;242.1100000;244.4200000;241.5600000;241.7900000;33270270
GAZP;D;20210513;000000;242.2500000;247.2900000;242.0500000;247.1600000;64157170
GAZP;D;20210514;000000;248.0000000;250.4000000;247.5300000;249.5500000;50267520
GAZP;D;20210517;000000;250.0000000;255.2500000;249.4500000;255.1500000;41074310
GAZP;D;20210518;000000;256.1100000;268.3800000;254.5400000;266.2200000;86151870
GAZP;D;20210519;000000;263.9000000;264.5000000;256.0000000;260.9000000;93197170
GAZP;D;20210520;000000;260.8000000;262.7800000;256.9000000;259.1600000;46502970
GAZP;D;20210521;000000;260.0400000;260.7000000;257.1200000;258.0000000;29037660
GAZP;D;20210524;000000;258.6900000;261.4700000;257.1200000;261.2400000;24616020
GAZP;D;20210525;000000;262.3300000;262.7200000;258.3100000;259.7900000;30568090
GAZP;D;20210526;000000;260.5200000;263.3300000;260.0100000;263.0900000;34571110
GAZP;D;20210527;000000;261.9800000;263.7500000;261.2200000;262.9600000;57534350
GAZP;D;20210528;000000;263.7900000;265.9300000;261.3500000;262.0000000;35266300
GAZP;D;20210531;000000;261.0000000;261.6000000;259.3000000;261.0300000;21367010
GAZP;D;20210601;000000;261.9700000;264.7600000;261.5800000;263.8600000;32746740
GAZP;D;20210602;000000;264.0500000;271.3600000;263.5500000;271.1500000;53327960
GAZP;D;20210603;000000;272.3300000;274.3000000;268.2000000;272.1000000;52795050
GAZP;D;20210604;000000;271.9200000;276.2200000;269.5800000;274.3000000;54381240
GAZP;D;20210607;000000;274.0500000;276.7000000;273.8500000;275.6700000;34226150
GAZP;D;20210608;000000;275.5000000;277.5800000;272.9100000;275.3600000;53072570
GAZP;D;20210609;000000;275.9300000;276.3900000;273.7600000;275.6500000;28255880
GAZP;D;20210610;000000;275.4000000;277.7700000;274.3200000;276.1000000;37243570
GAZP;D;20210611;000000;276.5800000;278.0000000;274.8500000;277.0500000;26611040
GAZP;D;20210614;000000;277.6200000;280.4500000;277.2200000;279.5000000;28175830
GAZP;D;20210615;000000;279.9200000;280.1400000;272.6300000;272.7200000;52220420
GAZP;D;20210616;000000;272.9900000;275.2300000;270.1200000;271.8000000;67245290
GAZP;D;20210617;000000;270.9000000;273.8900000;269.1000000;272.5000000;43611060
GAZP;D;20210618;000000;271.6100000;273.1800000;268.6500000;270.0600000;52681210
GAZP;D;20210621;000000;269.7700000;272.8600000;268.0900000;272.6200000;27431480
GAZP;D;20210622;000000;273.5200000;277.0000000;272.8900000;277.0000000;36914430
GAZP;D;20210623;000000;277.8900000;279.5600000;276.6700000;277.3500000;33546790
GAZP;D;20210624;000000;278.2000000;279.4700000;275.5000000;277.4700000;42556030
GAZP;D;20210625;000000;277.8000000;277.9200000;276.1200000;277.1900000;29702030
GAZP;D;20210628;000000;277.2300000;279.6100000;276.4300000;276.9900000;28083560
GAZP;D;20210629;000000;276.1200000;277.5000000;273.1700000;276.8000000;37588780
GAZP;D;20210630;000000;277.2800000;281.8200000;276.5000000;281.8000000;60312970
GAZP;D;20210701;000000;281.8800000;286.2500000;281.8800000;285.7400000;50045350
GAZP;D;20210702;000000;285.7000000;286.1900000;282.8000000;285.6500000;29285170
GAZP;D;20210705;000000;286.0000000;291.4900000;285.7800000;291.1000000;34201020
GAZP;D;20210706;000000;292.0000000;295.9700000;291.3400000;293.4500000;80345400
GAZP;D;20210707;000000;293.8500000;297.4800000;293.4700000;297.3900000;67043710
GAZP;D;20210708;000000;296.4500000;297.0000000;290.3300000;292.8600000;52704630
GAZP;D;20210709;000000;293.5100000;295.5800000;292.0000000;295.2200000;40962550
GAZP;D;20210712;000000;295.5300000;298.4800000;294.9000000;297.3900000;43336120
GAZP;D;20210713;000000;297.7700000;297.7700000;293.0000000;293.8300000;49180620
GAZP;D;20210714;000000;282.8800000;286.9300000;282.8800000;284.6000000;52516030
GAZP;D;20210715;000000;284.5800000;285.1100000;278.9600000;280.0100000;41716630
GAZP;D;20210716;000000;279.3800000;282.0000000;278.0000000;279.6500000;27958640
GAZP;D;20210719;000000;277.2600000;279.5100000;273.1500000;275.5100000;42536580
GAZP;D;20210720;000000;276.7900000;278.6800000;273.1000000;277.3000000;31024530
GAZP;D;20210721;000000;277.5400000;285.0100000;276.0000000;282.9000000;41055170
GAZP;D;20210722;000000;283.5000000;285.0900000;281.2100000;283.2800000;40212130
GAZP;D;20210723;000000;283.0800000;285.0000000;279.0500000;279.5100000;38260370
GAZP;D;20210726;000000;277.3700000;281.3700000;276.7000000;281.0500000;27353690
GAZP;D;20210727;000000;280.1900000;280.8300000;276.8400000;278.0800000;28452110
GAZP;D;20210728;000000;278.0500000;282.9800000;277.7000000;282.2000000;32789740
GAZP;D;20210729;000000;283.9700000;287.7500000;283.5800000;287.0000000;41127080
GAZP;D;20210730;000000;285.3700000;287.5800000;283.2800000;287.3500000;46696620
GAZP;D;20210802;000000;287.8800000;289.4800000;285.2100000;286.7500000;38297270
GAZP;D;20210803;000000;286.7700000;288.0500000;284.3400000;287.0900000;27065240
GAZP;D;20210804;000000;287.8900000;288.8000000;286.0000000;287.9400000;23599750
GAZP;D;20210805;000000;287.3100000;288.2800000;285.1600000;285.9500000;47254880
GAZP;D;20210806;000000;285.2600000;285.7200000;277.8700000;282.2700000;90600850
GAZP;D;20210809;000000;282.2300000;287.9000000;280.8000000;286.6800000;68779100
GAZP;D;20210810;000000;288.0000000;288.8000000;285.7000000;288.6100000;28839550
GAZP;D;20210811;000000;288.9200000;291.4900000;287.1200000;290.3500000;37928360
GAZP;D;20210812;000000;290.2500000;293.8100000;290.2500000;293.2300000;37564370
GAZP;D;20210813;000000;292.6500000;293.9000000;291.7500000;292.7000000;21802270
GAZP;D;20210816;000000;291.4700000;295.4800000;290.9500000;295.1000000;32273890
GAZP;D;20210817;000000;295.1300000;299.5000000;290.3200000;298.3200000;50482060
GAZP;D;20210818;000000;299.0000000;299.9500000;295.0000000;295.0500000;35531240
GAZP;D;20210819;000000;293.4900000;294.7200000;289.6800000;293.6800000;55911470
GAZP;D;20210820;000000;293.7900000;294.9000000;289.5000000;292.5700000;38594640
GAZP;D;20210823;000000;294.7000000;297.9400000;294.1000000;297.6900000;38038340
GAZP;D;20210824;000000;299.0000000;301.0000000;295.9500000;298.7000000;48940480
GAZP;D;20210825;000000;298.7100000;299.2000000;294.3700000;296.7000000;30906470
GAZP;D;20210826;000000;295.9200000;295.9700000;293.0400000;294.3400000;24990510
GAZP;D;20210827;000000;295.8100000;300.0000000;294.8100000;299.6600000;34063060
GAZP;D;20210830;000000;301.6600000;305.5000000;299.9700000;305.1700000;69849150
GAZP;D;20210831;000000;305.8300000;307.6700000;304.1000000;305.6500000;64318080
GAZP;D;20210901;000000;306.6000000;313.9500000;306.1900000;312.8900000;79410570
GAZP;D;20210902;000000;313.5900000;314.8000000;310.3000000;312.3000000;53349820
GAZP;D;20210903;000000;312.7000000;317.9600000;311.1600000;317.9400000;63637790
GAZP;D;20210906;000000;319.0000000;329.3500000;318.6000000;328.9300000;80141350
GAZP;D;20210907;000000;329.9500000;333.0000000;325.5000000;327.7300000;71864800
GAZP;D;20210908;000000;328.4900000;328.5000000;322.2200000;327.6000000;58765620
GAZP;D;20210909;000000;326.0000000;328.1400000;323.5000000;324.5700000;40361580
GAZP;D;20210910;000000;326.5500000;330.0000000;325.5000000;326.4300000;41425440
GAZP;D;20210913;000000;327.5200000;333.0000000;327.3000000;332.7500000;55356420
GAZP;D;20210914;000000;333.1300000;339.9200000;332.3600000;338.9800000;97138220
GAZP;D;20210915;000000;339.3900000;344.2000000;337.7200000;343.3400000;108811990
GAZP;D;20210916;000000;342.0000000;342.9900000;337.0300000;338.5000000;94713520
GAZP;D;20210917;000000;338.8300000;339.2900000;333.3000000;334.5000000;61454980
GAZP;D;20210920;000000;329.9700000;332.0000000;321.2600000;325.7000000;72882270
GAZP;D;20210921;000000;328.7000000;336.7800000;328.4400000;335.3000000;77355030
GAZP;D;20210922;000000;338.4000000;341.4900000;337.4000000;340.5900000;60974110
GAZP;D;20210923;000000;342.0000000;345.2000000;339.4300000;343.4700000;63445330
GAZP;D;20210924;000000;343.6700000;344.9000000;340.0000000;344.2900000;40071320
GAZP;D;20210927;000000;347.5200000;355.1900000;347.0000000;355.1900000;80950780
GAZP;D;20210928;000000;359.0000000;361.8000000;353.6800000;354.0700000;93838880
GAZP;D;20210929;000000;354.0500000;360.9400000;352.3000000;360.8800000;60144670
GAZP;D;20210930;000000;363.2600000;364.5300000;359.5300000;360.8000000;69876200
GAZP;D;20211001;000000;358.4500000;363.7800000;356.0000000;363.2500000;47529090
GAZP;D;20211004;000000;364.6700000;378.3300000;364.3000000;376.0600000;102227330
GAZP;D;20211005;000000;378.0600000;389.8200000;378.0300000;389.8200000;134521820
GAZP;D;20211006;000000;394.9800000;397.6400000;370.2500000;381.3000000;216137070
GAZP;D;20211007;000000;382.1800000;384.3000000;361.6100000;370.7000000;160398770
GAZP;D;20211008;000000;371.5000000;373.0000000;364.7700000;366.1700000;70161810
GAZP;D;20211011;000000;369.0000000;372.6100000;363.7000000;369.8100000;77995010
GAZP;D;20211012;000000;367.2600000;368.8500000;362.2500000;364.1000000;56619460
GAZP;D;20211013;000000;365.2400000;365.4400000;352.7100000;362.7700000;102086460
GAZP;D;20211014;000000;366.4000000;369.7000000;364.3500000;367.0000000;59659170
GAZP;D;20211015;000000;368.3100000;369.3500000;366.6100000;367.7600000;35816900
GAZP;D;20211018;000000;365.0100000;366.4500000;360.1500000;363.5000000;42945850
GAZP;D;20211019;000000;364.9800000;368.8300000;362.2400000;368.8300000;51429080
GAZP;D;20211020;000000;367.9000000;370.7500000;365.5000000;369.9700000;39435100
GAZP;D;20211021;000000;368.0000000;370.1900000;360.8800000;363.3700000;46351220
GAZP;D;20211022;000000;361.3800000;364.1900000;357.4800000;358.1200000;48056440
GAZP;D;20211025;000000;359.9900000;365.8400000;356.6900000;364.8400000;57268410
GAZP;D;20211026;000000;365.0400000;369.3300000;362.5400000;364.8200000;51713180
GAZP;D;20211027;000000;363.2700000;365.4900000;361.1800000;362.1700000;30579360
GAZP;D;20211028;000000;360.9600000;362.0200000;351.6200000;353.2100000;86476220
GAZP;D;20211029;000000;351.1000000;352.6000000;345.4000000;350.1800000;74862900
GAZP;D;20211101;000000;350.3000000;359.3000000;350.3000000;359.1000000;46460760
GAZP;D;20211102;000000;359.1600000;360.0000000;351.2400000;352.4800000;42925940
GAZP;D;20211103;000000;350.5500000;353.8600000;346.6200000;353.0200000;37782790
GAZP;D;20211105;000000;352.0000000;354.8000000;349.2300000;350.6000000;25553970
GAZP;D;20211108;000000;353.0000000;356.3400000;348.3400000;351.4700000;39731410
GAZP;D;20211109;000000;351.0600000;353.6100000;346.9900000;349.4600000;31015520
GAZP;D;20211110;000000;349.8700000;351.2500000;344.2000000;345.8000000;35456770
GAZP;D;20211111;000000;346.9400000;348.4300000;343.8000000;347.4400000;40212180
GAZP;D;20211112;000000;346.8400000;347.1500000;331.0000000;333.6000000;127163510
GAZP;D;20211115;000000;333.8100000;341.8100000;333.6700000;340.3000000;64140420
GAZP;D;20211116;000000;341.4800000;342.8500000;331.6100000;336.7900000;64616650
GAZP;D;20211117;000000;336.0000000;351.8200000;334.8300000;349.9800000;79007960
GAZP;D;20211118;000000;350.0500000;359.3200000;342.2800000;345.5600000;101979450
GAZP;D;20211119;000000;348.2700000;350.7300000;334.2000000;337.6200000;95994240
GAZP;D;20211122;000000;334.9900000;335.6800000;316.6600000;319.2000000;151300550
GAZP;D;20211123;000000;316.4500000;341.7700000;310.6200000;341.7700000;150432770
GAZP;D;20211124;000000;343.8700000;348.0000000;332.7500000;338.3000000;93592790
GAZP;D;20211125;000000;340.0000000;343.0000000;335.7000000;337.5500000;48702100
GAZP;D;20211126;000000;325.0000000;332.0000000;320.1000000;326.0000000;103502140
GAZP;D;20211129;000000;335.0000000;345.3300000;331.9600000;339.2000000;99152930
GAZP;D;20211130;000000;332.4800000;342.5500000;331.5000000;334.2400000;130276980
GAZP;D;20211201;000000;338.5700000;350.3700000;337.6100000;345.2100000;92906220
GAZP;D;20211202;000000;347.3000000;352.6700000;344.8000000;350.3000000;75360830
GAZP;D;20211203;000000;351.5000000;353.1300000;343.2100000;345.9900000;51627900
GAZP;D;20211206;000000;347.2700000;349.3600000;333.3500000;338.9400000;70924550
GAZP;D;20211207;000000;339.2500000;346.0000000;333.4300000;344.9600000;75507480
GAZP;D;20211208;000000;346.0000000;348.4700000;336.5300000;340.5000000;78321390
GAZP;D;20211209;000000;341.4500000;344.2000000;335.7200000;336.6000000;61406510
GAZP;D;20211210;000000;337.0200000;338.3100000;329.9800000;332.0000000;44642520
GAZP;D;20211213;000000;333.0900000;334.8800000;305.7600000;307.2600000;140577980
GAZP;D;20211214;000000;306.9900000;320.0000000;289.7800000;319.3500000;168672960
GAZP;D;20211215;000000;319.6500000;325.8300000;316.5000000;324.0900000;79742820
GAZP;D;20211216;000000;326.1800000;332.3000000;325.3800000;328.3900000;95469330
GAZP;D;20211217;000000;327.9800000;329.7000000;323.0300000;327.3000000;72099410
GAZP;D;20211220;000000;324.0000000;326.0000000;316.1100000;325.9000000;70795770
GAZP;D;20211221;000000;326.7500000;339.8800000;326.5000000;339.8800000;80061070
GAZP;D;20211222;000000;340.0100000;349.5900000;339.2900000;345.5500000;96809420
GAZP;D;20211223;000000;346.1000000;348.3200000;337.0000000;339.8100000;72129000
GAZP;D;20211224;000000;339.3000000;340.9800000;334.5500000;338.7900000;39005950
GAZP;D;20211227;000000;339.6800000;343.9700000;339.3300000;343.9700000;29925890
GAZP;D;20211228;000000;344.0400000;346.6000000;342.5500000;343.2300000;34848840
GAZP;D;20211229;000000;343.3000000;344.4800000;337.1300000;340.3300000;43005060
GAZP;D;20211230;000000;340.7500000;344.0000000;337.4000000;342.3900000;40853240
